dam_nm,obsr_de,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt,avg_hmd,avg_tmr,avg_wv,snsn_sum,valid_rsvwt_cpcty_qy
주암(조),20220726,0,164419.2,685065.6,48.8716,19.55,83.7,25.3,1.5,6.2,210
주암(조),20220727,0,122169.6,676080,48.3176,19.33,78.9,25.5,1.6,7.5,210
주암(조),20220728,0,120787.2,676166.4,47.7623,19.1,82.5,26.1,1.6,6.5,210
주암(조),20220729,0,99964.8,676252.8,47.186,18.87,76.5,27.7,1.7,9.5,210
주암(조),20220730,0,91152,676598.4,46.6006,18.6,79.8,26.6,2.3,0.7,210
주암(조),20220731,125.4582,2864419.2,676252.8,48.7888,19.52,93.5,25.6,4.1,3.49,210
충주,20220701,0.0735,104212915.2,7328102.4,1053.3557,38.3,77.3,27.5,1.2,18.2,1789
충주,20220702,0,47202393.6,7327756.8,1093.2303,39.75,76.3,27.7,1,15.8,1789
충주,20220703,0,26414985.6,7326720,1112.3185,40.45,72.1,28.4,1,17.3,1789
충주,20220704,5.4902,18809798.4,7328620.8,1123.7997,40.87,79.6,27.1,1,11.4,1789
충주,20220705,8.9258,15710976,7327497.6,1132.1832,41.17,82,27.3,0.9,13.3,1789
충주,20220706,1.058,16448659.2,7327843.2,1141.304,41.5,78.5,28.2,1.3,13.6,1789
충주,20220707,1.2682,11548828.8,7327843.2,1145.525,41.66,76.4,28.7,1.8,13.2,1789
충주,20220708,7.6622,11287296,7327584,1149.4847,41.8,79.8,27,1.2,9.4,1789
충주,20220709,0.0598,8981452.8,7327411.2,1151.1387,41.86,83.6,25.8,1.2,7.3,1789
충주,20220710,19.1997,11305267.2,7329398.4,1155.1145,42,82.3,27,1.1,13,1789
충주,20220711,49.2481,61511356.8,7325856,1209.3001,43.97,89.1,24,0.7,6.6,1789
충주,20220712,0,52450329.6,7328102.4,1254.4223,45.62,77.4,26,1.5,10.1,1789
충주,20220713,68.2061,56081116.8,7325251.2,1303.1782,47.39,86.8,23.5,2,2.6,1789
충주,20220714,3.902,158657184,7327929.6,1454.5074,52.89,87.3,25.1,1.2,6.5,1789
충주,20220715,2.7372,80480995.2,7326374.4,1527.662,55.55,78.4,25.1,1.3,12.4,1789
충주,20220716,1.6661,40049942.4,8941795.2,1558.7701,56.68,86.8,22.7,0.7,7.2,1789
충주,20220717,1.4227,33514473.6,8943004.8,1583.3416,57.58,82,24.2,0.9,9.1,1789
충주,20220718,0.8278,23454921.6,8944732.8,1597.8518,58.1,86.1,23.4,1.1,6.4,1789
충주,20220719,0.6192,18295459.2,8942486.4,1607.2048,58.44,80.8,25.1,1.1,10.9,1789
충주,20220720,0.289,14848617.6,9970128,1612.0833,58.62,77.9,26.2,1,11.5,1789
충주,20220721,27.8247,15832108.8,9973238.4,1617.9421,58.83,92,22.6,2,3.1,1789
충주,20220722,8.3164,20658412.8,9970128,1628.6304,59.22,90.8,22.7,0.6,6.1,1789
충주,20220723,16.7617,27617068.8,9054892.8,1647.1925,59.9,83.3,24.2,1.1,8.3,1789
충주,20220724,11.4759,38447481.6,9056188.8,1676.5838,60.97,83.5,25,1.4,8.4,1789
충주,20220725,0.2449,51446534.4,13222224,1714.8081,62.36,79.9,26.6,0.9,12.1,1789
충주,20220726,1.4173,35499945.6,25920604.8,1724.3874,62.7,79.3,26.8,1,12.2,1789
충주,20220727,0,24011337.6,25919481.6,1722.4793,62.64,71.4,26,1.4,15.1,1789
